顧客コード,顧客名,顧客所在地,拠点,取引開始月
C0093,O3株式会社,神奈川県,東京本社,2022-01-01
C0094,P3株式会社,東京都,東京本社,2022-01-01
C0095,Q3株式会社,神奈川県,東京本社,2022-01-01
C0096,R3株式会社,千葉県,東京本社,2022-01-01
C0097,S3株式会社,東京都,東京本社,2022-01-01
C0098,T3株式会社,群馬県,東京本社,2022-01-01
C0099,U3株式会社,東京都,東京本社,2022-01-01
C0100,V3株式会社,神奈川県,東京本社,2022-01-01
C0101,W3株式会社,神奈川県,東京本社,2022-01-01
C0103,Y3株式会社,東京都,東京本社,2022-01-01
C0104,Z3株式会社,千葉県,東京本社,2022-01-01
C0105,A4株式会社,東京都,東京本社,2022-01-01
C0106,B4株式会社,栃木県,東京本社,2022-01-01
C0107,C4株式会社,東京都,東京本社,2022-01-01
C0108,D4株式会社,群馬県,東京本社,2022-01-01
C0109,E4株式会社,茨城県,東京本社,2022-01-01
C0111,G4株式会社,埼玉県,東京本社,2022-01-01
C0112,H4株式会社,神奈川県,東京本社,2022-01-01
C0113,I4株式会社,東京都,東京本社,2022-01-01
C0115,K4株式会社,神奈川県,東京本社,2022-01-01
C0119,O4株式会社,東京都,東京本社,2022-01-01
C0121,Q4株式会社,神奈川県,東京本社,2022-01-01
C0124,T4株式会社,東京都,東京本社,2022-01-01
C0125,U4株式会社,埼玉県,東京本社,2022-01-01
C0126,V4株式会社,東京都,東京本社,2022-01-01
C0127,W4株式会社,神奈川県,東京本社,2022-01-01
C0128,X4株式会社,千葉県,東京本社,2022-01-01
C0131,A5株式会社,群馬県,東京本社,2022-01-01
C0132,B5株式会社,東京都,東京本社,2022-01-01
C0133,C5株式会社,東京都,東京本社,2022-01-01
C0134,D5株式会社,群馬県,東京本社,2022-01-01
C0135,E5株式会社,埼玉県,東京本社,2022-01-01
C0136,F5株式会社,東京都,東京本社,2022-01-01
C0138,H5株式会社,神奈川県,東京本社,2022-01-01
C0140,J5株式会社,東京都,東京本社,2022-01-01
C0142,L5株式会社,神奈川県,東京本社,2022-01-01
C0143,M5株式会社,東京都,東京本社,2022-01-01
C0144,N5株式会社,東京都,東京本社,2022-01-01
C0146,P5株式会社,埼玉県,東京本社,2022-01-01
C0147,Q5株式会社,群馬県,東京本社,2022-01-01
C0149,S5株式会社,東京都,東京本社,2022-01-01
C0150,T5株式会社,東京都,東京本社,2022-03-01
C0151,U5株式会社,埼玉県,東京本社,2022-01-01
C0152,V5株式会社,栃木県,東京本社,2022-01-01
C0153,W5株式会社,東京都,東京本社,2022-01-01
C0155,Y5株式会社,神奈川県,東京本社,2022-01-01
C0156,Z5株式会社,千葉県,東京本社,2022-01-01
C0157,A6株式会社,神奈川県,東京本社,2022-01-01
C0158,B6株式会社,埼玉県,東京本社,2022-01-01
C0160,D6株式会社,東京都,東京本社,2022-01-01
C0162,F6株式会社,千葉県,東京本社,2022-01-01
C0163,G6株式会社,神奈川県,東京本社,2022-01-01
C0164,H6株式会社,東京都,東京本社,2022-01-01
C0165,I6株式会社,埼玉県,東京本社,2022-01-01
C0166,J6株式会社,東京都,東京本社,2022-01-01
C0167,K6株式会社,東京都,東京本社,2022-01-01
C0168,L6株式会社,栃木県,東京本社,2022-01-01
C0170,N6株式会社,千葉県,東京本社,2022-01-01
C0171,O6株式会社,茨城県,東京本社,2022-01-01
C0173,Q6株式会社,栃木県,東京本社,2022-01-01
C0175,S6株式会社,東京都,東京本社,2022-01-01
C0176,T6株式会社,埼玉県,東京本社,2022-01-01
C0178,V6株式会社,埼玉県,東京本社,2022-01-01
C0179,W6株式会社,東京都,東京本社,2022-01-01
C0180,X6株式会社,千葉県,東京本社,2022-01-01
C0181,Y6株式会社,東京都,東京本社,2022-01-01
C0182,Z6株式会社,神奈川県,東京本社,2022-01-01
C0183,A7株式会社,東京都,東京本社,2022-01-01
C0185,C7株式会社,千葉県,東京本社,2022-01-01
C0186,D7株式会社,東京都,東京本社,2022-01-01
C0187,E7株式会社,神奈川県,東京本社,2022-01-01
C0188,F7株式会社,千葉県,東京本社,2022-01-01
C0189,G7株式会社,群馬県,東京本社,2022-01-01
C0191,I7株式会社,埼玉県,東京本社,2022-01-01
C0194,L7株式会社,茨城県,東京本社,2022-01-01
C0196,N7株式会社,東京都,東京本社,2022-01-01
C0198,P7株式会社,神奈川県,東京本社,2022-01-01
C0200,R7株式会社,神奈川県,東京本社,2022-01-01
